,date,store,item,sales
0,2017-10-01,7,23,27.38
1,2017-10-01,9,16,34.7
2,2017-10-01,3,18,116.66
3,2017-10-01,8,40,53.76
4,2017-10-01,2,27,34.87
5,2017-10-01,1,11,82.61
6,2017-10-01,1,35,84.18
7,2017-10-01,2,33,102.78
8,2017-10-01,7,42,31.29
9,2017-10-01,8,16,42.52
10,2017-10-01,1,8,91.5
11,2017-10-01,1,20,49.74
12,2017-10-01,1,43,55.4
13,2017-10-01,8,2,104.81
14,2017-10-01,6,49,26.63
15,2017-10-01,5,1,17.41
16,2017-10-01,1,42,45.37
17,2017-10-01,9,47,21.42
18,2017-10-01,4,50,76.53
19,2017-10-01,8,19,52.12
20,2017-10-01,4,12,90.39
21,2017-10-01,4,6,78.7
22,2017-10-01,7,45,69.13
23,2017-10-01,4,42,47.19
24,2017-10-01,10,23,45.96
25,2017-10-01,10,18,121.55
26,2017-10-01,3,32,61.31
27,2017-10-01,9,5,24.87
28,2017-10-01,3,15,135.55
29,2017-10-01,5,3,33.86
30,2017-10-01,7,26,49.34
31,2017-10-01,4,40,50.91
32,2017-10-01,1,2,67.75
33,2017-10-01,3,23,47.83
34,2017-10-01,6,2,57.14
35,2017-10-01,5,24,71.41
36,2017-10-01,4,2,81.48
37,2017-10-01,6,37,33.54
38,2017-10-01,6,9,49.94
39,2017-10-01,8,36,120.78
40,2017-10-01,10,27,32.23
41,2017-10-01,4,45,106.53
42,2017-10-01,4,18,111.29
43,2017-10-01,8,34,42.16
44,2017-10-01,8,1,35.49
45,2017-10-01,9,8,103.11
46,2017-10-01,5,13,79.81
47,2017-10-01,6,41,27.28
48,2017-10-01,8,24,106.86
49,2017-10-01,10,21,62.47
50,2017-10-01,7,17,33.2
51,2017-10-01,5,48,52.93
52,2017-10-01,3,10,117.54
53,2017-10-01,1,49,34.13
54,2017-10-01,1,38,96.1
55,2017-10-01,8,13,146.73
56,2017-10-01,3,14,79.51
57,2017-10-01,6,4,17.4
58,2017-10-01,1,44,27.4
59,2017-10-01,4,13,116.84
60,2017-10-01,9,42,45.35
61,2017-10-01,3,16,36.58
62,2017-10-01,1,17,35.46
63,2017-10-01,8,26,79.07
64,2017-10-01,7,33,70.89
65,2017-10-01,2,5,27.19
66,2017-10-01,10,48,80.11
67,2017-10-01,7,4,15.65
68,2017-10-01,7,30,41.33
69,2017-10-01,8,21,63.72
70,2017-10-01,4,39,60.88
71,2017-10-01,3,20,63.21
72,2017-10-01,5,21,34.05
73,2017-10-01,8,20,66.13
74,2017-10-01,2,7,92.36
75,2017-10-01,1,32,52.09
76,2017-10-01,9,17,43.75
77,2017-10-01,9,4,27.67
78,2017-10-01,9,45,116.54
79,2017-10-01,2,18,143.37
80,2017-10-01,5,11,68.8
81,2017-10-01,2,14,94.64
82,2017-10-01,2,49,42.11
83,2017-10-01,9,34,33.82
84,2017-10-01,9,46,76.01
85,2017-10-01,6,36,70.9
86,2017-10-01,7,16,26.29
87,2017-10-01,4,41,29.74
88,2017-10-01,1,50,73.24
89,2017-10-01,5,16,28.23
90,2017-10-01,3,36,117.82
91,2017-10-01,4,33,92.11
92,2017-10-01,3,48,77.18
93,2017-10-01,2,3,56.37
94,2017-10-01,1,24,77.23
95,2017-10-01,6,34,29.08
96,2017-10-01,2,46,85.53
97,2017-10-01,6,6,56.68
98,2017-10-01,10,45,122.8
99,2017-10-01,10,37,46.97
100,2017-10-01,7,38,83.05
101,2017-10-01,3,46,85.35
102,2017-10-01,8,49,47.97
103,2017-10-01,1,48,55.82
104,2017-10-01,4,32,56.49
105,2017-10-01,9,26,65.56
106,2017-10-01,6,20,38.61
107,2017-10-01,7,19,32.34
