,date,store,item,sales
0,2018-01-01,1,1,14.79
1,2018-01-02,1,1,12.73
2,2018-01-03,1,1,15.17
3,2018-01-04,1,1,14.3
4,2018-01-05,1,1,22.2
5,2018-01-06,1,1,20.93
6,2018-01-07,1,1,20.64
7,2018-01-08,1,1,15.36
8,2018-01-09,1,1,12.72
9,2018-01-10,1,1,14.04
10,2018-01-11,1,1,15.01
11,2018-01-12,1,1,12.2
12,2018-01-13,1,1,13.0
13,2018-01-14,1,1,24.96
14,2018-01-15,1,1,12.4
15,2018-01-16,1,1,14.31
16,2018-01-17,1,1,15.4
17,2018-01-18,1,1,14.34
18,2018-01-19,1,1,18.65
19,2018-01-20,1,1,18.11
20,2018-01-21,1,1,20.63
21,2018-01-22,1,1,10.48
22,2018-01-23,1,1,16.83
23,2018-01-24,1,1,14.69
24,2018-01-25,1,1,13.91
25,2018-01-26,1,1,12.6
26,2018-01-27,1,1,14.93
27,2018-01-28,1,1,22.31
28,2018-01-29,1,1,11.01
29,2018-01-30,1,1,16.38
30,2018-01-31,1,1,15.11
31,2018-02-01,1,1,15.34
32,2018-02-02,1,1,22.57
33,2018-02-03,1,1,23.75
34,2018-02-04,1,1,22.39
35,2018-02-05,1,1,14.66
36,2018-02-06,1,1,13.8
37,2018-02-07,1,1,17.33
38,2018-02-08,1,1,15.89
39,2018-02-09,1,1,16.11
40,2018-02-10,1,1,17.23
41,2018-02-11,1,1,19.9
42,2018-02-12,1,1,10.54
43,2018-02-13,1,1,14.31
44,2018-02-14,1,1,18.41
45,2018-02-15,1,1,17.1
46,2018-02-16,1,1,15.64
47,2018-02-17,1,1,18.7
48,2018-02-18,1,1,20.42
49,2018-02-19,1,1,8.41
50,2018-02-20,1,1,14.87
51,2018-02-21,1,1,14.23
52,2018-02-22,1,1,16.2
53,2018-02-23,1,1,15.64
54,2018-02-24,1,1,16.74
55,2018-02-25,1,1,23.47
56,2018-02-26,1,1,12.5
57,2018-02-27,1,1,17.51
58,2018-02-28,1,1,16.35
59,2018-03-01,1,1,20.16
60,2018-03-02,1,1,19.95
61,2018-03-03,1,1,16.88
